nct_id,indication
NCT06669572,Anorectal Cancer
NCT06669572,Epithelial Neoplasm
NCT06883552,Thoracic Neoplasm
NCT06366490,Ovarian Cancer
NCT06835387,Small Intestinal Adenocarcinoma
NCT06896188,Pancreatic Cancer
NCT06822972,Multiple Myeloma
NCT06822972,Multiple Myeloma
NCT06906562,Pancreatic Cancer
NCT06906562,FGFR Mutation
NCT06906562,Renal Cell Carcinoma
NCT06906562,FGFR2 Gene Translocation
NCT06906562,Pancreatic Cancer
NCT06906562,Epithelial Neoplasm
NCT06328036,Glioblastoma
NCT06066138,Soft Tissue Sarcoma
NCT06066138,Soft Tissue Sarcoma
NCT06066138,Non-Small Cell Lung Cancer
NCT06066138,Epithelial Neoplasm
NCT06066138,Neuroendocrine Carcinoma
NCT06066138,Epithelial Neoplasm
NCT06066138,Hepatocellular Carcinoma
NCT06066138,Hepatocellular Carcinoma
NCT06066138,Skin Melanoma
NCT06066138,Metastatic Melanoma
NCT06908031,Osteosarcoma
NCT06908031,MSS
NCT06908031,Rectal Carcinoma
NCT06912152,Peritoneal Malignant Mesothelioma
NCT05903833,Vulvar Carcinoma
NCT05903833,Vulvar Carcinoma
NCT05903833,Vulvar Carcinoma
NCT05903833,Vulvar Carcinoma
NCT06364267,Breast Cancer
NCT06508931,Hematology
NCT06517017,Multiple Myeloma
NCT06517017,Plasma Cell Leukemia
NCT06887803,Primary Myelofibrosis
NCT06882746,Colorectal Cancer
NCT06882746,Gastric Cancer
NCT06882746,Pancreatic Cancer
NCT06682637,Multiple Myeloma
NCT06914128,Solid Tumors
NCT06728072,Colorectal Cancer
NCT06728072,Colorectal Cancer
NCT06417190,Glioma
NCT06417190,Muscle Invasive Bladder Cancer
NCT06834672,Fallopian Tube Cancer
NCT06834672,Ovarian Cancer
NCT06834672,Primary Peritoneal Cancer
NCT06856200,HER2-Negative Breast Cancer
NCT06856200,Endocrine Neoplasm
NCT06560879,Thoracic Neoplasm
NCT06560879,Probiotics
NCT06560879,Gastrointestinal Diseases
NCT06801730,Glioma
NCT06851247,Nasopharyngeal Cancer
NCT06352866,Multiple Myeloma
NCT06352866,Cytokine Release Syndrome
NCT06352866,Multiple Myeloma
