nct_id,drug_name
NCT06669572,Pembrolizumab
NCT06669572,Lenvatinib
NCT06883552,Tislelizumab
NCT06366490,Innocell
NCT06835387,Irinotecan Sucrosofate
NCT06835387,Dexamethasone
NCT06835387,5-HT3 Receptor Antagonist
NCT06835387,Oxaliplatin
NCT06835387,Fluorouracil
NCT06835387,Folinic acid
NCT06896188,Retifanlimab
NCT06896188,Oxaliplatin
NCT06896188,Folinic acid
NCT06896188,Irinotecan
NCT06896188,Fluorouracil
NCT06896188,Elraglusib
NCT06822972,Selinexor
NCT06906562,Pemigatinib
NCT06906562,Computed Tomography Colonography
NCT06906562,Magnetic Resonance Imaging
NCT06328036,Atezolizumab
NCT06328036,Biospecimen Collection
NCT06328036,Magnetic Resonance Imaging
NCT06328036,Surgical Procedure
NCT06328036,Tiragolumab
NCT06066138,Atezolizumab
NCT06908031,Radiation Therapy
NCT06908031,Iparomlimab
NCT06908031,mFOLFOX6
NCT06908031,Cetuximab
NCT06908031,Bevacizumab
NCT06908031,Resection
NCT06912152,Fludarabine
NCT06912152,Cyclophosphamide
NCT06912152,MT-027
NCT05903833,Pembrolizumab
NCT05903833,Lenvatinib
NCT06364267,Tamoxifen
NCT06364267,Exemestane
NCT06508931,Zamtocabtagene autoleucel
NCT06517017,Isatuximab
NCT06517017,Dexamethasone
NCT06517017,Lenalidomide
NCT06887803,Roginolisib
NCT06887803,Ruxolitinib
NCT06882746,BI 765049
NCT06682637,Melphalan flufenamide
NCT06682637,Dexamethasone
NCT06914128,PH020
NCT06728072,Metronidazole
NCT06728072,Ciprofloxacin
NCT06728072,Aspirin
NCT06834672,IBI 354
NCT06834672,Paclitaxel
NCT06834672,Gemcitabine
NCT06834672,Pegylated liposomal doxorubicin
NCT06856200,Sirolimus
NCT06856200,Palbociclib
NCT06856200,Fulvestrant
NCT06560879,Lactobacillus rhamnosus
NCT06560879,Bifidobacterium bifidum
NCT06560879,Placebo Control
NCT06801730,irinotecan liposomal
NCT06801730,Bevacizumab
NCT06851247,Toripalimab
NCT06851247,Catequentinib
NCT06851247,Gemcitabine
NCT06851247,Cisplatin
NCT06851247,Intensity-Modulated Radiation Therapy
NCT06352866,Siltuximab
NCT06352866,Teclistamab
NCT06744894,Selinexor
NCT06744894,Ixazomib
NCT06744894,Lenalidomide
NCT06772428,Megestrol acetate
NCT06772428,Radiation Therapy
NCT06772428,Chemotherapy
NCT06720324,Fludarabine
NCT06720324,Cyclophosphamide
NCT06720324,Anti-CD7 CAR T-cells
NCT06735131,Toripalimab
NCT06735131,Radiation Therapy
NCT06735131,Chemotherapy
NCT06735131,Nab-paclitaxel
NCT06735131,Gemcitabine
NCT06735131,Carboplatin
NCT06730932,Tifcemalimab
NCT06730932,Toripalimab
NCT06667908,Hafnium oxide
NCT06667908,Durvalumab
NCT06667908,Intensity-Modulated Radiation Therapy
NCT06667908,Carboplatin
NCT06667908,Paclitaxel
NCT06700395,TQB2029
NCT06749886,Denosumab
NCT06749886,Tislelizumab
NCT06749886,Docetaxel
NCT06171685,Teclistamab
NCT06171685,Investigational New Drug
NCT06682611,SYHA-1813
NCT06682611,SG 001
NCT06682611,HB 1801
NCT06682611,Carboplatin
NCT06682611,Cisplatin
NCT06682611,Paclitaxel
NCT06682611,Etoposide
NCT06682611,Everolimus
NCT06682611,Regorafenib
NCT06647563,Toripalimab
NCT06647563,Cetuximab
NCT06647563,Nab-paclitaxel
NCT06647563,Carboplatin
NCT06647563,Cisplatin
NCT06647563,Radiation Therapy
NCT06673693,Tislelizumab
NCT06673693,Stereotactic Body Radiation Therapy
NCT06217536,Lurbinectedin
NCT06217536,Radiation Therapy
NCT06217536,Surgery
NCT06613152,HS-IT201
NCT06490536,Oxaliplatin
NCT06490536,Capecitabine
NCT06490536,Folinic acid
NCT06490536,Fluorouracil
NCT06490536,Temozolomide
NCT06490536,Irinotecan
NCT06490536,Nivolumab
NCT06490536,Ipilimumab
NCT06490536,Trastuzumab
NCT06490536,Pertuzumab
NCT06490536,Panitumumab
NCT06253637,Daratumumab
NCT06578286,JNJ-0683
NCT06519370,FDA018-ADC
NCT06519370,Eribulin
NCT06519370,Capecitabine
NCT06519370,Gemcitabine
NCT06519370,Vinorelbine
NCT06261814,Sulfur Hexafluoride Lipid Microspheres
NCT06261814,Contrast-Enhanced Ultrasound
NCT06261814,Transarterial Chemoembolization
NCT06416410,Glecirasib
NCT06416410,Tislelizumab
NCT06416410,JAB 3312
NCT06416410,Pemetrexed
NCT06416410,Carboplatin
NCT06549595,AZD0486
NCT06549595,Rituximab
NCT06549595,Cyclophosphamide
NCT06549595,Doxorubicin
NCT06549595,Vincristine
NCT06549595,Prednisone
NCT06549595,Bendamustine
NCT06509568,Nab-paclitaxel
NCT06509568,Carboplatin
NCT06509568,Toripalimab
NCT06509568,Esophagectomy
NCT06509568,Intensity-Modulated Radiation Therapy
NCT06509568,Volume Modulated Arc Therapy
NCT06509568,Immunotherapy
NCT06080165,Sirolimus
NCT06080165,Placebo Control
NCT06525948,Recombinant Human Thrombopoietin
NCT06525948,Cyclosporin
NCT06444412,Computed Tomography
NCT06444412,Gallium Ga-68 gozetotide
NCT06444412,Positron Emission Tomography
NCT06562920,Adebrelimab
NCT06562920,Chemotherapy
NCT06562920,Stereotactic Body Radiation Therapy
NCT06562920,Surgical Procedure
NCT06260033,Biospecimen Collection
NCT06260033,Bone Scan
NCT06260033,Computed Tomography
NCT06260033,18F-fluoroestradiol
NCT06260033,Positron Emission Tomography
NCT06260033,Questionnaire Administration
NCT06260033,Stereotactic Body Radiation Therapy
NCT05901194,Lenvatinib
NCT06734182,Envafolimab
NCT06734182,Disitamab vedotin
NCT06734182,Carboplatin
NCT06422156,Stereotactic Body Radiation Therapy
NCT06422156,Nimotuzumab
NCT06422156,Gemcitabine
NCT06422156,Gimeracil/oteracil/tegafur
NCT06422156,Capecitabine
NCT06881537,Capecitabine
NCT06881537,Oxaliplatin
NCT06881537,Bevacizumab
NCT06881537,Tislelizumab
NCT06332430,Immunogenic Cell Death Inducer CAN2109
NCT06402383,Human papillomavirus vaccine
NCT06408194,Anti-CD22 CAR T Cells Preparation
NCT06408194,Tisagenlecleucel
NCT06408194,Lymphodepletion Therapy
NCT06428682,Tranexamic Acid
NCT06428682,Placebo Control
NCT06300320,Rovadicitinib
NCT06255379,Fruquintinib
NCT06255379,Gimeracil/oteracil/tegafur
NCT06358638,Daratumumab
NCT06358638,Alemtuzumab
NCT06358638,Sirolimus
NCT06358638,Total-Body Irradiation
NCT06494514,Eculizumab
NCT06494514,Oxaliplatin
NCT06494514,Fluorouracil
NCT06494514,FU-LV Regimen
NCT06494514,PDCD1 wt Allele
NCT06494514,Stereotactic Body Radiation Therapy
NCT06494514,Gemcitabine
NCT06494514,Nab-paclitaxel
NCT06271551,Transdermal Estrogen
NCT06271551,Resistance Training
NCT06297226,Arlocabtagene autoleucel
NCT06432296,M 701
NCT06432296,Paracentesis
NCT06099366,Vincristine
NCT06099366,Asparaginase
NCT06099366,Dexamethasone
NCT06099366,Cytarabine Intrathecal Regimen
NCT06099366,Intrathecal Methotrexate/Methotrexate/Pegaspargase/Vincristine Regimen
NCT06099366,Mercaptopurine
NCT06099366,Methotrexate Intrathecal Regimen
NCT06099366,Cyclophosphamide
NCT06099366,Cytarabine
NCT06099366,Methotrexate
NCT06099366,Doxorubicin
NCT05679921,Pembrolizumab
NCT05679921,Pazopanib
NCT05735028,Centipeda minima Decoction
NCT05735028,PD-1/PD-L1 inhibitor
NCT06329999,Mitoxantrone liposomal
NCT06329999,Cytarabine
NCT06329999,Filgrastim
NCT06329999,Vincristine
NCT06329999,Hematopoietic Cell Transplantation
NCT06208462,Adebrelimab
NCT06208462,Lenvatinib
NCT06208462,Gemcitabine
NCT06208462,Oxaliplatin
NCT05967182,Pembrolizumab
NCT05967182,Gemcitabine
NCT05967182,Cisplatin
NCT06440811,SOX
NCT06440811,PD-1 Inhibitor
NCT06440811,FLOT
NCT05567770,Actinium Ac 225 Rosopatamab Tetraxetan
NCT05567770,Stereotactic Body Radiation Therapy
NCT06077760,V 940
NCT06077760,Pembrolizumab
NCT06077760,Placebo Control
NCT06132438,PEP-CMV Vaccine
NCT05995041,CLL-1/CD33/CD38/CD123-specific universal CAR- T cells (Shenzhen Geno-Immune Medical Institute)
NCT06017323,Gemcitabine
NCT06017323,Nab-paclitaxel
NCT06017323,Proglumide
NCT06109207,Camrelizumab
NCT06109207,Dalpiciclib
NCT06081595,Fuzuloparib
NCT06081595,Rivoceranib
NCT06109064,Venetoclax
NCT06109064,Decitabine
NCT06109064,Azacitidine
NCT06008119,Tunlametinib
NCT06008119,Vemurafenib
NCT06008119,Bevacizumab
NCT06008119,Cetuximab
NCT06321887,Ferrous fumarate
NCT05863195,Bevacizumab
NCT05863195,Cetuximab
NCT05863195,Computed Tomography
NCT05863195,Floxuridine
NCT05863195,Fluorouracil
NCT05863195,Ganciclovir
NCT05863195,Intrahepatic Infusion Procedure
NCT05863195,Irinotecan
NCT05863195,Folinic acid
NCT05863195,Oxaliplatin
NCT05863195,Panitumumab
NCT05863195,Single Photon Emission Computed Tomography
NCT05318469,Ivermectin
NCT05318469,Balstilimab
NCT06080893,Ferric carboxymaltose
NCT05888844,INCB 099280
NCT06092957,Cisplatin
NCT06092957,Camrelizumab
NCT06092957,Toripalimab
NCT06092957,Adebrelimab
NCT06092957,Intensity-Modulated Radiation Therapy
NCT06045689,Luspatercept
NCT05786573,Obexelimab
NCT06057168,Gadopiclenol
NCT06057168,Gadoterate-meglumine
NCT06015568,MCLA-129
NCT06015568,Befotertinib
NCT06020833,Roxadustat
NCT06020833,Tretinoin
NCT06809426,[177Lu]-LNC1011
NCT03529448,Dronabinol
NCT03529448,Temozolomide
NCT03529448,Radiation Therapy
NCT05907304,Naporafenib
NCT05907304,Trametinib
NCT05918250,MRNA 2736
NCT05453396,Loncastuximab tesirine
NCT05553041,18F-Fluciclovine
NCT05553041,Positron Emission Tomography and Magnetic Resonance Imaging
NCT05553041,Magnetic Resonance Imaging
NCT06041425,Oxycodone
NCT06041425,Transarterial Chemoembolization
NCT06041425,Sufentanil
NCT05770531,Biospecimen Collection
NCT05770531,Computed Tomography
NCT05770531,Magnetic Resonance Imaging
NCT05770531,Sacituzumab govitecan
NCT06007846,memantine hydrochloride
NCT05954312,VVD-130037
NCT05777278,Savolitinib
NCT05777278,Docetaxel
NCT05850234,GC 012F
NCT05687110,Biopsy
NCT05687110,Biospecimen Collection
NCT05687110,Diagnostic Imaging
NCT05687110,novobiocin sodium
NCT05961696,Mosunetuzumab
NCT05751265,Tislelizumab
NCT05751265,Fluorouracil
NCT05751265,Paclitaxel
NCT05443425,Colestyramine
NCT05443425,Leflunomide
NCT05443425,Steroid Therapy
NCT05812807,Pembrolizumab
NCT05812807,Patient Observation
NCT05812807,Biopsy
NCT05812807,Biospecimen Collection
NCT05812807,Questionnaire Administration
NCT05926960,Encorafenib
NCT05926960,Binimetinib
NCT05926960,Pembrolizumab
NCT05926960,Ipilimumab
NCT05926960,Nivolumab
NCT05443464,OSSM 001
NCT05894837,Serplulimab
NCT05894837,Regorafenib
NCT05894837,Intrahepatic Infusion Procedure
NCT05400902,Oxaliplatin
NCT05400902,Folinic acid
NCT05400902,Fluorouracil
NCT05400902,Sintilimab
NCT05400902,Bevacizumab
NCT05885464,BEAM 201
NCT05976997,Duvelisib
NCT05976997,Chidamide
NCT05716516,Estradiol
NCT05139056,Neural Stem Cells-expressing CRAd-S-pk7
NCT05139056,Resection
NCT05848999,UCLM-802
NCT05843448,IO102 IO103
NCT05843448,Pembrolizumab
NCT05701709,SHR A2102
NCT05371054,Venetoclax
NCT05371054,Enitociclib
NCT05371054,Prednisone
NCT05754801,Coriolus Versicolor Extract
NCT05754801,Placebo Control
NCT05744921,Pozelimab
NCT05744921,Cemdisiran
NCT05661591,SHR-2554
NCT05661591,Fluconazole
NCT05715398,BR 790
NCT05715398,Catequentinib
NCT05675813,Cyclophosphamide
NCT05675813,Doxorubicin
NCT05675813,Vincristine
NCT05675813,Prednisone
NCT05675813,Azacitidine
NCT05675813,Selinexor
NCT05675813,Duvelisib
NCT05675813,Tislelizumab
NCT05675813,Chidamide
NCT05716113,RD 13
NCT05784870,Traditional Chinese Medicine Formulation
NCT05784870,Ferrous succinate
NCT05722795,Imatinib
NCT05870995,Cladribine
NCT05870995,Cytarabine
NCT05870995,Etoposide
NCT05870995,Venetoclax
NCT05870995,Fludarabine
NCT05870995,Busulfan
NCT05870995,Melphalan
NCT05870995,Total Marrow Irradiation
NCT05679258,Daratumumab
NCT05603559,Lutetium Lu 177 Vipivotide Tetraxetan
NCT05603559,Lutetium Lu-177 PNT2002
NCT05608785,Fidasimtamab
NCT05608785,Oxaliplatin
NCT05608785,Capecitabine
NCT05608785,Osemitamab
NCT05608785,Benmelstobart
NCT05608785,Catequentinib
NCT05668767,Surufatinib
NCT05668767,Durvalumab
NCT05668767,Etoposide
NCT05668767,Cisplatin
NCT05668767,Carboplatin
NCT05669807,Camrelizumab
NCT05669807,Nab-paclitaxel
NCT05669807,Irinotecan
NCT05990998,Gallium 68-DOTATATE
NCT05990998,68Ga-FAPI-46
NCT05990998,Positron Emission Tomography and Computed Tomography Scan
NCT06350838,BCG Regimen
NCT05198843,Dasatinib
NCT05198843,Icosapent Ethyl
NCT05208762,PF-08046054
NCT05208762,Pembrolizumab
NCT05425862,Pidnarulex
NCT05425862,Talazoparib
NCT04892277,Autologous Anti-CD19 CAR-expressing T-lymphocytes IC19/1563
NCT04892277,Bendamustine
NCT04892277,Biospecimen Collection
NCT04892277,Bone Marrow Aspiration
NCT04892277,Bone Marrow Biopsy
NCT04892277,Computed Tomography
NCT04892277,Cyclophosphamide
NCT04892277,Fludarabine
NCT04892277,Magnetic Resonance Imaging
NCT04892277,Positron Emission Tomography
NCT05521412,[161 Tb]Tb PSMA I&T
NCT05489731,TAS 119
NCT05489731,osimertinib mesylate
NCT05285358,Cisplatin
NCT05285358,Gemcitabine
NCT05285358,Nab-paclitaxel
NCT05285358,Questionnaire Administration
NCT05322135,BAY 949392
NCT05322135,Carbon C 11 Glutamine
NCT05496231,Human papillomavirus vaccine
NCT05496231,"Human Papillomavirus 9-valent Vaccine, Recombinant"
NCT05779514,Mirabegron
NCT05111574,Biospecimen Collection
NCT05111574,cabozantinib s-malate
NCT05111574,Computed Tomography
NCT05111574,Echocardiography
NCT05111574,Magnetic Resonance Imaging
NCT05111574,Nivolumab
NCT05111574,Placebo Administration
NCT05111574,Positron Emission Tomography
NCT05491512,18F-Fluoromisonidazole
NCT05491512,Radiation Therapy
NCT05491512,Cisplatin
NCT05491512,Carboplatin
NCT05491512,Fluorouracil
NCT05491512,Paclitaxel
NCT06469138,Bemcentinib
NCT05463601,Mecapegfilgrastim
NCT05463601,Dalpiciclib
NCT05463601,Exemestane
NCT05463601,Fulvestrant
NCT05463601,Letrozole
NCT05463601,Tamoxifen
NCT05406466,Tislelizumab
NCT05406466,Lenvatinib
NCT05406466,Cryosurgery
NCT05465343,Furmonertinib
NCT05480865,BBP 398
NCT05480865,Sotorasib
NCT04978727,SVN53-67-M57-KLH peptide vaccine
NCT04978727,Sargramostim
NCT04978727,Incomplete Freund's adjuvant
NCT04978727,Radiation Therapy
NCT05186545,Surufatinib
NCT05186545,Fulvestrant
NCT05186545,Chidamide
NCT05381038,Azacitidine
NCT05381038,Docetaxel
NCT05381038,Paclitaxel
NCT05381038,Irinotecan
NCT05429398,Linperlisib
NCT05429398,Camrelizumab
NCT05362409,Aminolevulinic acid
NCT05362409,CV01-delivered ultrasound
NCT04655391,bosutinib monohydrate
NCT04655391,Decitabine
NCT04655391,enasidenib mesylate
NCT04655391,gilteritinib fumarate
NCT04655391,glasdegib maleate
NCT04655391,Ivosidenib
NCT04655391,Venetoclax
NCT05600309,Favezelimab
NCT05600309,Pembrolizumab
NCT05600309,Regorafenib
NCT05600309,Tipiracil/trifluridine
NCT05085054,osimertinib mesylate
NCT05085054,Salvage Surgery
NCT05389293,Mosunetuzumab
NCT05389293,Zanubrutinib
NCT05393804,Idecabtagene vicleucel
NCT05393804,Ciltacabtagene autoleucel
NCT05393804,Leukapheresis
NCT05393804,Lymphodepletion Therapy
NCT05393804,Chimeric Antigen Receptor T-Cell Therapy
NCT05479812,WTX-124
NCT05479812,Pembrolizumab
NCT05055063,Belantamab mafodotin
NCT05263999,Itolizumab
NCT05263999,Placebo
NCT05135715,Disitamab vedotin
NCT05198934,Sotorasib
NCT05198934,Panitumumab
NCT05198934,Trifluridine
NCT05198934,Tipiracil/trifluridine
NCT05198934,Regorafenib
NCT05397184,Chimeric Antigen Receptor T-Cell Therapy
NCT05327582,Durvalumab
NCT05327582,Lenvatinib
NCT05327582,Nab-paclitaxel
NCT05317325,Vaccine Therapy
NCT05317325,Tumor antigen-pulsed DC vaccine - Sichuan University
NCT04826016,Balixafortide
NCT04826016,Eribulin
NCT04826016,Nab-paclitaxel
NCT05315700,ORIC 114
NCT05024305,TWP-102
NCT05081193,Testosterone undecanoate
NCT05081193,Enzalutamide
NCT05231850,Tislelizumab
NCT05296772,Denenicokin
NCT05296772,Exenokine-21
NCT05296772,Pembrolizumab
NCT05302921,Cryoablation
NCT05302921,Nivolumab
NCT05302921,Ipilimumab
NCT05636566,Sevoflurane
NCT05636566,Propofol
NCT05636566,Dexmedetomidine
NCT05204628,XZP-3621
NCT05204628,Crizotinib
NCT04119830,Pembrolizumab
NCT04119830,Questionnaire Administration
NCT04119830,Rintatolimod
NCT04591028,Indocyanine green
NCT05239182,Elraglusib
NCT05239182,Retifanlimab
NCT05239182,Gemcitabine
NCT05239182,Nab-paclitaxel
NCT04965077,MIL 97
NCT05305859,Venetoclax
NCT05305859,Chidamide
NCT05305859,Azacitidine
NCT05111366,Benmelstobart
NCT05111366,catequentinib hydrochloride
NCT04956276,Bis-choline Tetrathiomolybdate
NCT04956276,Placebo Control
NCT05796089,Thoracic Radiation Therapy
NCT05796089,Etoposide
NCT05796089,Carboplatin
NCT05796089,Cisplatin
NCT05796089,Durvalumab
NCT05183958,Stereotactic Body Radiation Therapy
NCT05183958,Normofractionated Radiotherapy
NCT05183958,Camrelizumab
NCT05183958,Chemotherapy
NCT05067283,MK-1084
NCT05067283,Pembrolizumab
NCT05067283,Carboplatin
NCT05067283,Pemetrexed
NCT05067283,Cetuximab
NCT05067283,Oxaliplatin
NCT05067283,Folinic acid
NCT05067283,Fluorouracil
NCT05078671,Olaparib
NCT05078671,Cobicistat
NCT05170334,Binimetinib
NCT05170334,Belinostat
NCT04372927,Cisplatin
NCT04372927,Durvalumab
NCT04372927,Etoposide
NCT04372927,Hypofractionated Radiation Therapy
NCT04372927,Pemetrexed
NCT05155189,C CAR 031
NCT05155189,Lenvatinib
NCT05155189,Anti-PD-L1 Monoclonal Antibody
NCT04837196,ASP 7517
NCT04837196,Pembrolizumab
NCT05114720,Moxifloxacin
NCT05114720,Docetaxel
NCT05114720,Nab-paclitaxel
NCT05114720,Cyclophosphamide
NCT05114720,Doxorubicin
NCT05114720,Placebo Control
NCT05001347,Uliledlimab
NCT04999540,Tucidinostat
NCT04999540,Fulvestrant
NCT05627778,Gallium Ga-68 gozetotide
NCT05627778,68Ga-P15-041
NCT04337177,Irinotecan
NCT04337177,Temozolomide
NCT04891809,Isatuximab
NCT04891809,Lenalidomide
NCT04891809,Dexamethasone
NCT05061537,PF-07263689
NCT05061537,Sasanlimab
NCT05083481,ASP1570
NCT05083481,Pembrolizumab
NCT05008224,Pembrolizumab
NCT05008224,Doxorubicin
NCT05008224,Vinblastine
NCT05008224,Dacarbazine
NCT05008224,Bleomycin
NCT05008224,Etoposide
NCT05008224,Cyclophosphamide
NCT05008224,Vincristine
NCT05008224,Procarbazine
NCT05008224,Prednisone
NCT04933903,Ipilimumab
NCT04933903,Nivolumab
NCT04933903,Stereotactic Body Radiation Therapy
NCT04982900,Furmonertinib
NCT04982900,Placebo Control
NCT04278651,Ferumoxytol
NCT04278651,Ferrous sulfate
NCT04985851,Durvalumab
NCT04985851,Catequentinib
NCT04003896,Abemaciclib
NCT05017012,Subcutaneous Pembrolizumab
NCT05017012,Pembrolizumab
NCT05017012,Pemetrexed
NCT05017012,Carboplatin
NCT05017012,Paclitaxel
NCT05017012,Nab-paclitaxel
NCT05017012,Axitinib
NCT05017012,Cisplatin
NCT05039931,GNC 035
NCT05002270,Glecirasib
NCT05002270,Cetuximab
NCT05103891,Binimetinib
NCT05078138,Epoetin alfa
NCT04826107,DP 303c
NCT04826107,PD-1/PD-L1 inhibitor
NCT04955886,Surufatinib
NCT04955886,Toripalimab
NCT04807166,Catequentinib
NCT04807166,Paclitaxel
NCT04807166,Carboplatin
NCT04877613,Fludarabine
NCT04877613,Cyclophosphamide
NCT04877613,Autologous Anti-GFRa4 CAR-TCR-zeta-4-1BB-expressing T-cells
NCT05075122,Pembrolizumab
NCT05075122,UV1 Telomerase Peptide Vaccine
NCT05075122,Sargramostim
NCT04517227,Durvalumab
NCT04517227,Transarterial Chemoembolization
NCT04517227,Ablation Therapy
NCT04924101,Pembrolizumab
NCT04924101,MK-4830
NCT04924101,Boserolimab
NCT04924101,Lenvatinib
NCT04924101,Etoposide
NCT04924101,Cisplatin
NCT04924101,Carboplatin
NCT04898634,Pasritamig
NCT04906395,leuprolide acetate
NCT04906395,Tamoxifen
NCT04906395,Letrozole
NCT04906395,Anastrozole
NCT04906395,Exemestane
NCT04937972,Retlirafusp alfa
NCT04937972,Fuzuloparib
NCT04946890,MRX-2843
NCT04961788,Toripalimab
NCT04961788,Oxaliplatin
NCT04961788,Gemcitabine
NCT04846920,Belzutifan
NCT04808570,TQ-B3525
NCT04717531,Pyrotinib
NCT04717531,Trastuzumab
NCT04717531,Pertuzumab
NCT04717531,Docetaxel
NCT04717531,Epirubicin
NCT04717531,Cyclophosphamide
NCT04878692,Cream Dosage Form
NCT04938297,Rituximab
NCT04938297,Lenalidomide
NCT04938297,Zanubrutinib
NCT04902885,Trilaciclib
NCT04902885,Carboplatin
NCT04902885,Etoposide
NCT04902885,Topotecan
NCT04902885,Placebo Control
NCT06669013,Dinutuximab beta
NCT04690595,Autologous BAFFR-targeting CAR T Cells
NCT05893654,Melphalan
NCT05893654,Brachytherapy
NCT04912765,Nivolumab
NCT04912765,Neoantigen-loaded Autologous Dendritic Cell Vaccine
NCT04511078,Panitumumab-IRDye800
NCT04868747,Lidocaine
NCT04868747,Gastrectomy
NCT04868747,Sodium chloride
NCT04954001,FCN 159
NCT04649476,Camrelizumab
NCT04649476,Docetaxel
NCT04649476,Cisplatin
NCT04649476,Fluorouracil
NCT04965155,Isatuximab
NCT04965155,Dexamethasone
NCT04731467,CM 24
NCT04731467,Nivolumab
NCT04731467,Nab-paclitaxel
NCT04731467,Gemcitabine
NCT04731467,Eculizumab
NCT04731467,Fluorouracil
NCT04731467,Liposome Vesicle
NCT04749394,Camrelizumab
NCT04749394,Rivoceranib
NCT04508309,Human papillomavirus 16/18 vaccine recombinant bivalent Xiamen Innovax
NCT04508309,"Human Papillomavirus 9-valent Vaccine, Recombinant"
NCT04923529,Tipiracil/trifluridine
NCT04721015,ABBV-637
NCT04721015,Docetaxel
NCT04721015,Osimertinib
NCT05143112,Allogeneic Anti-CD19 T-cells ThisCART19A
NCT04709731,Ponatinib
NCT04688983,Ponatinib
NCT04688983,Blinatumomab
NCT04688983,Imatinib
NCT04471974,ZEN 3694
NCT04471974,Enzalutamide
NCT04471974,Pembrolizumab
NCT04640246,TBX-3400
NCT04640246,Blood Transfusion
NCT04942730,Fludarabine
NCT04942730,bendamustine hydrochloride
NCT04942730,Busulfan
NCT04942730,Cyclophosphamide
NCT04942730,Mycophenolate mofetil
NCT04942730,Tacrolimus
NCT04943757,bendamustine hydrochloride
NCT04943757,Cyclophosphamides
NCT04890392,Tislelizumab
NCT04890392,Gimeracil/oteracil/tegafur
NCT04890392,Oxaliplatin
NCT04890392,Surgical Procedure
NCT05906615,Lidocaine
NCT04634071,Varenicline
NCT04634071,Bupropion
NCT04634071,Long-acting Nicotine Replacement Therapy
NCT04634071,Counseling
NCT04605185,Donafenib
NCT04605185,Toripalimab
NCT05549778,Polaprezinc
NCT05549778,Abiraterone
NCT04622566,Lenvatinib
NCT04622566,Pembrolizumab
NCT04622566,Surgical Procedure
NCT04686383,CAL056 mesylate
NCT04493060,Dostarlimab
NCT04493060,Niraparib
NCT04683354,Tunlametinib
NCT04650451,Chimeric Antigen Receptor T-Cell Therapy
NCT05304754,Interleukin-15
NCT05304754,NK cells stimulated ex vivo with IL-15
NCT05304754,Alloreactive NK cells - Instituto de InvestigaciÃ³n Hospital Universitario La Paz
NCT04532281,Anti-CD19 CAR T Cells Preparation
NCT04602689,Fibrinogen Human
NCT04602689,Aprotinin
NCT04602689,Thrombin
NCT04602689,Calcium Chloride
NCT04501094,Bintrafusp alfa
NCT04225676,Tisagenlecleucel
NCT04614636,FT538
NCT04614636,Cyclophosphamide
NCT04614636,Fludarabine
NCT04614636,Daratumumab
NCT04614636,Elotuzumab
NCT04604132,Derazantinib
NCT04604132,Paclitaxel
NCT04604132,Ramucirumab
NCT04592653,Nemvaleukin-alfa
NCT04592653,Pembrolizumab
NCT04552769,Abemaciclib
NCT04566380,Nivolumab
NCT04566380,Oxaliplatin
NCT04566380,Gimeracil/oteracil/tegafur
NCT04566380,Capecitabine
NCT04566380,Bevacizumab
NCT04566380,Temozolomide
NCT04459663,Toripalimab
NCT04459663,Axitinib
NCT04512417,Camrelizumab
NCT04512417,Radiation Therapy
NCT04398108,Margetuximab
NCT04398108,Capecitabine
NCT04398108,Vinorelbine
NCT04398108,Gemcitabine
NCT04189107,Dexamethasone
NCT04189107,Placebo Control
NCT04344158,Penpulimab
NCT04344158,catequentinib hydrochloride
NCT04344158,sorafenib tosylate
NCT04435197,Pembrolizumab
NCT05513612,Autologous CAR-T Cells
NCT05513612,Fludarabine
NCT05513612,Cyclophosphamide
NCT04493125,Mosapride
NCT04493125,Placebo Control
NCT04379739,Camrelizumab
NCT04469075,clindamycin phosphate
NCT04469075,triamcinolone acetonide
NCT04433221,Multiple sarcoma-specific CAR-T cells - Shenzhen Geno-Immune Medical Institute
